match_id,comp,season,home_team,away_team,scoring_team,team_scored_on,minute,cluster,KO_short_possessions,KO_medium_possessions,KO_long_possessions,DS_short_possessions,DS_medium_possessions,DS_long_possessions,last_event,second_last_event,shot_data,GD_diff,xGD_diff,xGdf_diff,GF_diff,GA_diff,xG_diff,xGA_diff,Possession_Percentage_diff,x_fav,fav
7536,FIFA World Cup,2018,Belgium,Panama,Belgium,Panama,46,1,5,5,0,1,0,0,"{'type': 'Error', 'event': {'type': 'Error', 'play_source': 'From Throw In', 'team': 'NO'}}","{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'Cross', 'pass_detail': 'High Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Throw In', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",2.9264475743348983,1.2762998720097025,-0.30691704158435035,0.20031298904538342,-2.726134585289515,0.5072300306297337,-0.769069841379969,2.840711588770027,med fav,high fav
7581,FIFA World Cup,2018,Croatia,Denmark,Croatia,Denmark,0,6,9,0,0,4,0,0,"{'type': 'Carry', 'play_source': 'From Throw In', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'None', 'pass_detail': 'Ground Pass', 'length': 'Short', 'direction': 'Sideways', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Throw In', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-0.3712121212121212,0.04542493429962112,-0.04796905042916648,0.35265151515151505,0.7238636363636363,0.40062056558068204,0.3551956312810607,3.588274501594796,neutral,neutral
265894,La Liga,2015/2016,Málaga,Barcelona,Barcelona,Málaga,1,7,2,3,1,0,0,0,"{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Free Kick', 'shot_detail': 'Inside', 'result': 'Saved', 'third': 'T1', 'team': 'YES'}}","{'type': 'Carry', 'play_source': 'From Free Kick', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Free Kick', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",2.090614886731392,1.4362776568353353,0.7345813006464814,2.007751937984496,-0.08286294874689548,1.273170637338015,-0.16310701949732076,15.661709128926496,med fav,high fav
266149,La Liga,2015/2016,Barcelona,Athletic Club,Barcelona,Athletic Club,46,16,9,4,0,1,1,0,"{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'Through-Ball', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",1.432129173508484,0.9730907661620556,0.2137938486428707,1.1198686371100162,-0.3122605363984675,0.9060747884671458,-0.06701597769490975,15.924716128248356,low fav,med fav
266310,La Liga,2015/2016,RC Deportivo La Coruña,Barcelona,Barcelona,RC Deportivo La Coruña,46,16,9,3,0,2,1,0,"{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'None', 'pass_detail': 'High Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Short', 'direction': 'Sideways', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",2.5999999999999996,1.5219991492900002,0.45490512614615386,1.6615384615384616,-0.9384615384615385,1.206633335392308,-0.31536581389769214,17.23802750749512,high fav,high fav
267327,La Liga,2015/2016,Barcelona,Real Betis,Barcelona,Real Betis,45,6,8,3,0,1,0,0,"{'type': 'Carry', 'play_source': 'From Kick Off', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'None', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Sideways', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",2.6985521971043944,1.5266823419190043,0.9134893179974903,2.066700533401067,-0.6318516637033275,1.1532112154035763,-0.3734711265154278,16.94730756905001,high fav,high fav
3754008,Premier League,2015/2016,Manchester United,Sunderland,Manchester United,Sunderland,45,2,5,1,0,2,0,0,"{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'Cross', 'pass_detail': 'Ground Pass', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'From Kick Off', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",1.208553532981014,1.082392176460178,0.00954632343251121,0.37867814967051605,-0.8298753833104979,0.369131826238005,-0.7132603502221734,12.648152148430611,med fav,med fav
3754026,Premier League,2015/2016,Crystal Palace,Stoke City,Crystal Palace,Stoke City,46,20,10,3,0,3,0,0,"{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'None', 'pass_detail': 'Ground Pass', 'length': 'Short', 'direction': 'Sideways', 'third': 'T3', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Medium', 'direction': 'Towards', 'third': 'T3', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T3', 'team': 'YES'}}",-0.13245465222497715,-0.0717406308247292,-0.11478845611332375,-0.10217930314498247,0.03027534907999474,0.012609152968341641,0.0843497837930709,-0.7188269240413234,neutral,neutral
3754043,Premier League,2015/2016,Tottenham Hotspur,AFC Bournemouth,Tottenham Hotspur,AFC Bournemouth,0,7,5,0,1,1,0,0,"{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'Cross', 'pass_detail': 'Low Pass', 'length': 'Long', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Long', 'direction': 'Towards', 'third': 'T2', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",1.7584766584766585,0.9146682109662656,0.1932638434829893,0.7563472563472564,-1.002129402129402,0.563083412864267,-0.3515847981019985,2.0516637691654935,low fav,high fav
3754075,Premier League,2015/2016,Aston Villa,Chelsea,Chelsea,Aston Villa,45,13,9,3,0,2,0,0,"{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'Cross', 'pass_detail': 'Ground Pass', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'From Kick Off', 'length': 'Short', 'direction': 'UnknownDirection', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",1.6889473684210528,1.2933035424359738,0.0035042722756315654,0.6792105263157894,-1.0097368421052633,0.6757062540401578,-0.6175972883958161,13.479869138943393,med fav,high fav
