match_id,goal_minute,competition_name,season_name,half,home_team,away_team,scoring_team,xg,is_kickoff_team
3890511,3,1. Bundesliga,2015/2016,1,Hertha Berlin,Hannover 96,Hertha Berlin,0.34925008,True
3890384,2,1. Bundesliga,2015/2016,1,Borussia Dortmund,VfB Stuttgart,Borussia Dortmund,0.1640838,True
3890282,46,1. Bundesliga,2015/2016,2,FSV Mainz 05,Hannover 96,FSV Mainz 05,0.51699793,False
3890540,1,1. Bundesliga,2015/2016,1,Bayer Leverkusen,Hertha Berlin,Bayer Leverkusen,0.119708106,False
3890535,0,1. Bundesliga,2015/2016,1,Wolfsburg,Augsburg,Augsburg,0.49411908,True
3890533,47,1. Bundesliga,2015/2016,2,Hertha Berlin,Bayern Munich,Bayern Munich,0.03774275,False
3890531,3,1. Bundesliga,2015/2016,1,FC Köln,Darmstadt 98,FC Köln,0.40188655,False
3890527,48,1. Bundesliga,2015/2016,2,FSV Mainz 05,FC Köln,FSV Mainz 05,0.073249,False
3890520,48,1. Bundesliga,2015/2016,2,Hannover 96,Borussia Mönchengladbach,Hannover 96,0.058244497,False
3890518,48,1. Bundesliga,2015/2016,2,Schalke 04,Borussia Dortmund,Borussia Dortmund,0.093460746,True
3890500,48,1. Bundesliga,2015/2016,2,VfB Stuttgart,Bayer Leverkusen,Bayer Leverkusen,0.12807426,True
3890486,2,1. Bundesliga,2015/2016,1,Hoffenheim,Wolfsburg,Hoffenheim,0.18441215,True
3890485,3,1. Bundesliga,2015/2016,1,Ingolstadt,VfB Stuttgart,Ingolstadt,0.026018983,False
3890480,1,1. Bundesliga,2015/2016,1,FC Köln,Schalke 04,Schalke 04,0.7835,False
3890473,3,1. Bundesliga,2015/2016,1,Schalke 04,Hamburger SV,Hamburger SV,0.13482182,False
3890453,48,1. Bundesliga,2015/2016,2,Bayern Munich,Darmstadt 98,Bayern Munich,0.16318418,False
3890439,45,1. Bundesliga,2015/2016,2,FSV Mainz 05,Schalke 04,Schalke 04,0.2094538,True
3890438,46,1. Bundesliga,2015/2016,2,Hamburger SV,FC Köln,Hamburger SV,0.15354088,False
3890419,3,1. Bundesliga,2015/2016,1,Schalke 04,Werder Bremen,Schalke 04,0.047144983,False
3890418,46,1. Bundesliga,2015/2016,2,Hannover 96,Darmstadt 98,Darmstadt 98,0.9087761,True
3890408,46,1. Bundesliga,2015/2016,2,VfB Stuttgart,Wolfsburg,VfB Stuttgart,0.14662634,False
3890405,47,1. Bundesliga,2015/2016,2,Eintracht Frankfurt,Werder Bremen,Eintracht Frankfurt,0.37978333,True
3890400,3,1. Bundesliga,2015/2016,1,Werder Bremen,FC Köln,Werder Bremen,0.12897424,False
3890379,2,1. Bundesliga,2015/2016,1,Werder Bremen,Hamburger SV,Hamburger SV,0.070966125,True
3890377,4,1. Bundesliga,2015/2016,1,Hoffenheim,Borussia Mönchengladbach,Borussia Mönchengladbach,0.35189396,True
3890377,46,1. Bundesliga,2015/2016,2,Hoffenheim,Borussia Mönchengladbach,Hoffenheim,0.35219172,True
3890365,46,1. Bundesliga,2015/2016,2,Borussia Dortmund,Schalke 04,Borussia Dortmund,0.11911451,True
3890360,46,1. Bundesliga,2015/2016,2,Darmstadt 98,Hamburger SV,Darmstadt 98,0.2276816,True
3890347,48,1. Bundesliga,2015/2016,2,Borussia Dortmund,Augsburg,Augsburg,0.11531164,False
3890335,0,1. Bundesliga,2015/2016,1,Wolfsburg,Hoffenheim,Wolfsburg,0.55218965,True
3890329,45,1. Bundesliga,2015/2016,2,Bayern Munich,Borussia Dortmund,Bayern Munich,0.9355235,True
3890294,48,1. Bundesliga,2015/2016,2,Hoffenheim,Werder Bremen,Hoffenheim,0.31622493,True
3890289,3,1. Bundesliga,2015/2016,1,Eintracht Frankfurt,FC Köln,Eintracht Frankfurt,0.07521727,True
3890280,46,1. Bundesliga,2015/2016,2,FC Köln,Hamburger SV,Hamburger SV,0.22444215,True
3890271,46,1. Bundesliga,2015/2016,2,Schalke 04,Darmstadt 98,Schalke 04,0.24664585,False
3890270,0,1. Bundesliga,2015/2016,1,Hoffenheim,Bayern Munich,Hoffenheim,0.4045285,False
3890265,47,1. Bundesliga,2015/2016,2,Augsburg,Hertha Berlin,Hertha Berlin,0.7835,False
3890262,47,1. Bundesliga,2015/2016,2,Darmstadt 98,Hannover 96,Hannover 96,0.24387507,True
3922242,3,African Cup of Nations,2023,1,Senegal,Côte d'Ivoire,Senegal,0.07703587,True
3922244,46,African Cup of Nations,2023,2,Mali,Burkina Faso,Mali,0.12298096,False
3920385,1,African Cup of Nations,2023,1,Egypt,Mozambique,Egypt,0.10229805,True
3920397,45,African Cup of Nations,2023,2,Equatorial Guinea,Guinea-Bissau,Equatorial Guinea,0.15143515,True
